game_id,turn_number,guess,words_possible,letters_in,letters_out,pos_yes,pos_no,freq,letter_score_by_word,letter_score_by_freq,distinct_letters,model_params,model_rank,response
0aace60fe7ff8,1,great,38809,[],[],"[[], [], [], [], []]","[[], [], [], [], []]",0.8511380382023769,0.7604500472916697,0.9352773670285122,1.0,"{'freq': 0.10608400064469636, 'letter_score_by_word': 0.3950464084261095, 'letter_score_by_freq': 0.12238512026080584, 'distinct_letters': 0.6722943450611796}",3.5468654525225585,_____
0aace60fe7ff8,2,would,4167,[],"['a', 'r', 'g', 'e', 't']","[[], [], [], [], []]","[[], [], [], [], []]",0.9332543007969913,0.670992191088654,0.9889999364479377,1.0,"{'freq': 0.10608400064469636, 'letter_score_by_word': 0.3950464084261095, 'letter_score_by_freq': 0.12238512026080584, 'distinct_letters': 0.6722943450611796}",3.593246428333583,_-___
0aace60fe7ff8,3,simon,410,['o'],"['a', 'w', 'r', 'g', 'd', 'e', 'u', 'l', 't']","[[], [], [], [], []]","[[], ['o'], [], [], []]",1.0,0.9672774869109949,0.9104350409544275,1.0,"{'freq': 0.10608400064469636, 'letter_score_by_word': 0.3950464084261095, 'letter_score_by_freq': 0.12238512026080584, 'distinct_letters': 0.6722943450611796}",3.8777125278654223,___-_
0aace60fe7ff8,4,chock,16,['o'],"['a', 'w', 'r', 'g', 'd', 'e', 'u', 'l', 'i', 'n', 's', 'm', 't']","[[], [], [], [], []]","[[], ['o'], [], ['o'], []]",0.9120108393559097,0.8666666666666666,0.9226036629022107,0.8,"{'freq': 0.10608400064469636, 'letter_score_by_word': 0.3950464084261095, 'letter_score_by_freq': 0.12238512026080584, 'distinct_letters': 0.6722943450611796}",3.5012811689247867,__+_-
0aace60fe7ff8,5,kyoko,2,"['o', 'k']","['h', 'a', 'w', 'r', 'g', 'd', 'e', 'c', 'u', 'l', 'i', 'n', 's', 'm', 't']","[[], [], ['o'], [], []]","[[], ['o'], [], ['o'], ['k']]",1.0,1.0,1.0,1.0,"{'freq': 0.10608400064469636, 'letter_score_by_word': 0.3950464084261095, 'letter_score_by_freq': 0.12238512026080584, 'distinct_letters': 0.6722943450611796}",4.0,+++++
0bdbf7ecdf923,1,great,38809,[],[],"[[], [], [], [], []]","[[], [], [], [], []]",0.8511380382023769,0.7604500472916697,0.9352773670285122,1.0,"{'freq': 0.10488635203142216, 'letter_score_by_word': 0.3757636138828243, 'letter_score_by_freq': 0.670985234534337, 'distinct_letters': 0.2534242415965636}",3.5468654525225585,__--_
0bdbf7ecdf923,2,place,1996,"['a', 'e']","['r', 't', 'g']","[[], [], [], [], []]","[[], [], ['e'], ['a'], []]",1.0,0.6217672413793103,0.7521895284251485,1.0,"{'freq': 0.10488635203142216, 'letter_score_by_word': 0.3757636138828243, 'letter_score_by_freq': 0.670985234534337, 'distinct_letters': 0.2534242415965636}",3.373956769804459,__+-+
0bdbf7ecdf923,3,chase,17,"['c', 'a', 'e']","['r', 'g', 'p', 'l', 't']","[[], [], ['a'], [], ['e']]","[[], [], ['e'], ['c', 'a'], []]",1.0,1.0,1.0,1.0,"{'freq': 0.10488635203142216, 'letter_score_by_word': 0.3757636138828243, 'letter_score_by_freq': 0.670985234534337, 'distinct_letters': 0.2534242415965636}",4.0,+_+++
0bdbf7ecdf923,4,cease,3,"['c', 'a', 's', 'e']","['h', 'r', 'g', 'p', 'l', 't']","[['c'], [], ['a'], ['s'], ['e']]","[[], [], ['e'], ['c', 'a'], []]",1.0,0.8,0.9982734088457892,0.8,"{'freq': 0.10488635203142216, 'letter_score_by_word': 0.3757636138828243, 'letter_score_by_freq': 0.670985234534337, 'distinct_letters': 0.2534242415965636}",3.598273408845789,+++++
0c37cc39a7121,1,great,38809,[],[],"[[], [], [], [], []]","[[], [], [], [], []]",0.8511380382023769,0.7604500472916697,0.9352773670285122,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",3.5468654525225585,_-_--
0c37cc39a7121,2,party,315,"['a', 'r', 't']","['e', 'g']","[[], [], [], [], []]","[[], ['r'], [], ['a'], ['t']]",1.0,0.3132530120481927,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",3.3132530120481927,_+++_
0c37cc39a7121,3,carts,48,"['a', 'r', 't']","['p', 'y', 'e', 'g']","[[], ['a'], ['r'], ['t'], []]","[[], ['r'], [], ['a'], ['t']]",1.0,0.6774193548387096,0.9846192053754337,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",3.6620385602141434,_++++
0c37cc39a7121,4,darts,10,"['a', 'r', 't', 's']","['g', 'p', 'y', 'e', 'c']","[[], ['a'], ['r'], ['t'], ['s']]","[[], ['r'], [], ['a'], ['t']]",1.0,1.0,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",4.0,_++++
0c37cc39a7121,5,farts,9,"['a', 'r', 't', 's']","['g', 'p', 'y', 'd', 'e', 'c']","[[], ['a'], ['r'], ['t'], ['s']]","[[], ['r'], [], ['a'], ['t']]",1.0,1.0,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",4.0,_++++
0c37cc39a7121,6,warts,8,"['a', 'r', 't', 's']","['g', 'p', 'y', 'd', 'e', 'c', 'f']","[[], ['a'], ['r'], ['t'], ['s']]","[[], ['r'], [], ['a'], ['t']]",1.0,1.0,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",4.0,_++++
0c37cc39a7121,7,tarts,7,"['a', 'r', 't', 's']","['w', 'g', 'p', 'y', 'd', 'e', 'c', 'f']","[[], ['a'], ['r'], ['t'], ['s']]","[[], ['r'], [], ['a'], ['t']]",1.0,0.7999999999999999,0.9016084132805288,0.8,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",3.501608413280529,-++++
0c37cc39a7121,8,karts,6,"['a', 'r', 't', 's']","['w', 'g', 'p', 'y', 'd', 'e', 'c', 'f']","[[], ['a'], ['r'], ['t'], ['s']]","[['t'], ['r'], [], ['a'], ['t']]",1.0,1.0,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",4.0,_++++
0c37cc39a7121,9,barts,5,"['a', 'r', 't', 's']","['w', 'g', 'k', 'p', 'y', 'd', 'e', 'c', 'f']","[[], ['a'], ['r'], ['t'], ['s']]","[['t'], ['r'], [], ['a'], ['t']]",1.0,1.0,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",4.0,_++++
0c37cc39a7121,10,harts,4,"['a', 'r', 't', 's']","['w', 'b', 'g', 'k', 'p', 'y', 'd', 'e', 'c', 'f']","[[], ['a'], ['r'], ['t'], ['s']]","[['t'], ['r'], [], ['a'], ['t']]",1.0,1.0,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",4.0,_++++
0c37cc39a7121,11,marts,3,"['a', 'r', 't', 's']","['h', 'w', 'b', 'g', 'k', 'p', 'y', 'd', 'e', 'c', 'f']","[[], ['a'], ['r'], ['t'], ['s']]","[['t'], ['r'], [], ['a'], ['t']]",1.0,1.0,1.0,1.0,"{'freq': 0.381423930598799, 'letter_score_by_word': 0.5166646159170754, 'letter_score_by_freq': 0.8651994732380647, 'distinct_letters': 0.7310380109426118}",4.0,+++++
004f84abea646,1,great,38809,[],[],"[[], [], [], [], []]","[[], [], [], [], []]",0.8511380382023769,0.7604500472916697,0.9352773670285122,1.0,"{'freq': 0.3469886877315044, 'letter_score_by_word': 0.5061391791643827, 'letter_score_by_freq': 0.06423808756207872, 'distinct_letters': 0.9890549926586895}",3.5468654525225585,__---
004f84abea646,2,state,471,"['a', 'e', 't']","['r', 'g']","[[], [], [], [], []]","[[], [], ['e'], ['a'], ['t']]",1.0,0.5405405405405408,0.8838888836117094,0.8,"{'freq': 0.3469886877315044, 'letter_score_by_word': 0.5061391791643827, 'letter_score_by_freq': 0.06423808756207872, 'distinct_letters': 0.9890549926586895}",3.22442942415225,_----
